file,line,kernel,reachability,family,access,candidate,correctness_gate,evidence
include/search.cuh,38,findNextRnn,native update query and legacy API,distance,"A lane owns a point/query and loops coordinates; AoS rows gather/stride across lanes, coordinate loads contiguous only within each lane; output is often already coalesced.","Test warp-per-distance or query/pivot tiling; retain coalesced output via ownership handoff, not lane0 scattered stores.","Keep metric, accumulation, pruning boundary and every tail; small grids may lose to launch/metadata costs.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,156,findNextKnn,legacy query API; no native main call,flag,"Adjacent flags contiguous; parent flags may broadcast, node fields are AoS or gathers.",Retain SoA flag writes; consider compact node-field views only if amortized across consumers.,Do not add packing per query without end-to-end benefit; preserve parent/child ownership.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,190,updatePnodeFlag,native update query and legacy API,flag,"Adjacent flags contiguous; parent flags may broadcast, node fields are AoS or gathers.",Retain SoA flag writes; consider compact node-field views only if amortized across consumers.,Do not add packing per query without end-to-end benefit; preserve parent/child ownership.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,208,updateCnodeFlag,legacy query API; no native main call,flag,"Adjacent flags contiguous; parent flags may broadcast, node fields are AoS or gathers.",Retain SoA flag writes; consider compact node-field views only if amortized across consumers.,Do not add packing per query without end-to-end benefit; preserve parent/child ownership.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,226,getQpDis,legacy query API; no native main call,distance,"A lane owns a point/query and loops coordinates; AoS rows gather/stride across lanes, coordinate loads contiguous only within each lane; output is often already coalesced.","Test warp-per-distance or query/pivot tiling; retain coalesced output via ownership handoff, not lane0 scattered stores.","Keep metric, accumulation, pruning boundary and every tail; small grids may lose to launch/metadata costs.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,325,updateDisk,legacy query API; no native main call,kth,One sparse kth gather per query; contiguous small output.,Usually leave alone; fuse into producer only after output readiness proof.,"O(1) per query, not the RNN full reduction; preserve sort/key and kth ties.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,342,leafProcessRnn,legacy query API; no native main call,distance,"A lane owns a point/query and loops coordinates; AoS rows gather/stride across lanes, coordinate loads contiguous only within each lane; output is often already coalesced.","Test warp-per-distance or query/pivot tiling; retain coalesced output via ownership handoff, not lane0 scattered stores.","Keep metric, accumulation, pruning boundary and every tail; small grids may lose to launch/metadata costs.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,477,leafProcessKnn,legacy query API; no native main call,distance,"A lane owns a point/query and loops coordinates; AoS rows gather/stride across lanes, coordinate loads contiguous only within each lane; output is often already coalesced.","Test warp-per-distance or query/pivot tiling; retain coalesced output via ownership handoff, not lane0 scattered stores.","Keep metric, accumulation, pruning boundary and every tail; small grids may lose to launch/metadata costs.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,591,getQnodeCount,update qnum>1 fallback / legacy API; native main fixes qnum=1,reduction,One query thread invokes device Thrust reduction over a long segment; across query lanes the segments are far apart.,One warp/CTA per segment with cooperative contiguous loads and hierarchical reduction.,"Preserve empty segments, exact count, nonpower tails; static RNN proof does not cover update API fallback.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,606,getQresultCount,update qnum>1 fallback / legacy API; native main fixes qnum=1,reduction,One query thread invokes device Thrust reduction over a long segment; across query lanes the segments are far apart.,One warp/CTA per segment with cooperative contiguous loads and hierarchical reduction.,"Preserve empty segments, exact count, nonpower tails; static RNN proof does not cover update API fallback.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,621,mergeLeafNode,update qnum>1 fallback / legacy API; native main fixes qnum=1,scatter,Input stream mostly contiguous; prefix/gather destinations may not be adjacent across lanes.,Choose traversal matching prefix order; warp/block packing can make output contiguous.,"Preserve per-query grouping, ID mapping, prefix offsets and any stable-order requirement.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,642,mergeResultRnn,update qnum>1 fallback / legacy API; native main fixes qnum=1,scatter,Input stream mostly contiguous; prefix/gather destinations may not be adjacent across lanes.,Choose traversal matching prefix order; warp/block packing can make output contiguous.,"Preserve per-query grouping, ID mapping, prefix offsets and any stable-order requirement.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,668,mergeResultKnn,legacy query API; no native main call,scatter,Input stream mostly contiguous; prefix/gather destinations may not be adjacent across lanes.,Choose traversal matching prefix order; warp/block packing can make output contiguous.,"Preserve per-query grouping, ID mapping, prefix offsets and any stable-order requirement.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,705,getKnnResult,legacy query API; no native main call,gather_topk,"One CTA/query, lanes already write adjacent top-k slots; input permutation gathers.",Keep output mapping; profile gather locality or fuse selection only with exact contract.,Legacy API is not the native V2 entry; preserve selected IDs and sort order.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,720,initQnode,native update query and legacy API,linear,Grid-stride scalar arrays are contiguous across lanes; no obvious coalescing defect.,Keep layout; consider eliminating redundant initialization/pass or reusing workspace only if consumer requires same bytes.,Prove every read is initialized; launch fusion is distinct from memory coalescing.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,739,initDisk,legacy query API; no native main call,linear,Grid-stride scalar arrays are contiguous across lanes; no obvious coalescing defect.,Keep layout; consider eliminating redundant initialization/pass or reusing workspace only if consumer requires same bytes.,Prove every read is initialized; launch fusion is distinct from memory coalescing.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,750,initRes,native update query and legacy API,linear,Grid-stride scalar arrays are contiguous across lanes; no obvious coalescing defect.,Keep layout; consider eliminating redundant initialization/pass or reusing workspace only if consumer requires same bytes.,Prove every read is initialized; launch fusion is distinct from memory coalescing.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search.cuh,761,checkRes,definition only; no active native launch,debug,Debug-only printing/checks; no production optimization target.,Leave outside active dispatch; inventory retained so absence is explicit.,Do not count an uncalled debug definition as workload cost.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_naive.cuh,24,searchD,overflow-buffer query; searchS only string metric,distance,"A lane owns a point/query and loops coordinates; AoS rows gather/stride across lanes, coordinate loads contiguous only within each lane; output is often already coalesced.","Test warp-per-distance or query/pivot tiling; retain coalesced output via ownership handoff, not lane0 scattered stores.","Keep metric, accumulation, pruning boundary and every tail; small grids may lose to launch/metadata costs.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_naive.cuh,89,searchS,overflow-buffer query; searchS only string metric,string,"Each lane owns one edit-distance DP and an irregular string; large per-thread table, divergent lengths.",Separate length-bucket/wavefront DP design rather than blindly reuse L2 warp code.,"Exact edit distance, table bounds, zero-length strings, stack/local traffic; unmeasured here.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_naive.cuh,130,check,overflow-buffer query; searchS only string metric,linear,Grid-stride scalar arrays are contiguous across lanes; no obvious coalescing defect.,Keep layout; consider eliminating redundant initialization/pass or reusing workspace only if consumer requires same bytes.,Prove every read is initialized; launch fusion is distinct from memory coalescing.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_naive.cuh,149,getAccu,definition only; no active native launch,legacy_scan,Contiguous arrays but repeated stride-doubling passes.,Use native scan if this dormant implementation is revived; current buffer path instead scans on CPU.,Do not credit removal of uncalled kernels as a live improvement.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_naive.cuh,170,updateUpp,definition only; no active native launch,legacy_scan,Contiguous arrays but repeated stride-doubling passes.,Use native scan if this dormant implementation is revived; current buffer path instead scans on CPU.,Do not credit removal of uncalled kernels as a live improvement.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_naive.cuh,182,getRnn,overflow-buffer query; searchS only string metric,scatter,Input stream mostly contiguous; prefix/gather destinations may not be adjacent across lanes.,Choose traversal matching prefix order; warp/block packing can make output contiguous.,"Preserve per-query grouping, ID mapping, prefix offsets and any stable-order requirement.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_v2.cuh,67,nodeProcessRnn,V2 static RNN/kNN; NOT update query,distance,"A lane owns a point/query and loops coordinates; AoS rows gather/stride across lanes, coordinate loads contiguous only within each lane; output is often already coalesced.","Test warp-per-distance or query/pivot tiling; retain coalesced output via ownership handoff, not lane0 scattered stores.","Keep metric, accumulation, pruning boundary and every tail; small grids may lose to launch/metadata costs.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_v2.cuh,183,nodeProcessKnn,V2 static RNN/kNN; NOT update query,flag,"Adjacent flags contiguous; parent flags may broadcast, node fields are AoS or gathers.",Retain SoA flag writes; consider compact node-field views only if amortized across consumers. C3 ballot mask is unused; warp label alone is not coalesced distance work.,Do not add packing per query without end-to-end benefit; preserve parent/child ownership.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_v2.cuh,285,initPList,V2 static RNN/kNN; NOT update query,linear,Grid-stride scalar arrays are contiguous across lanes; no obvious coalescing defect.,Keep layout; consider eliminating redundant initialization/pass or reusing workspace only if consumer requires same bytes.,Prove every read is initialized; launch fusion is distinct from memory coalescing.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_v2.cuh,297,initPListKnn,V2 static RNN/kNN; NOT update query,linear,Grid-stride scalar arrays are contiguous across lanes; no obvious coalescing defect.,Keep layout; consider eliminating redundant initialization/pass or reusing workspace only if consumer requires same bytes.,Prove every read is initialized; launch fusion is distinct from memory coalescing.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_v2.cuh,309,getQCount,V2 static RNN/kNN; NOT update query,transpose,"Reads node-major/query-minor flags contiguously but writes query-major/node-minor, strided between lanes.",Shared-memory tiled transpose or choose one layout consistently through count/scan/compaction.,Both sides of transpose and prefix/query boundaries must remain correct; partial tiles and padding explicit.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_v2.cuh,331,getQCountKnn,V2 static RNN/kNN; NOT update query,transpose,"Reads node-major/query-minor flags contiguously but writes query-major/node-minor, strided between lanes.",Shared-memory tiled transpose or choose one layout consistently through count/scan/compaction.,Both sides of transpose and prefix/query boundaries must remain correct; partial tiles and padding explicit.,source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_v2.cuh,355,mergeLNode,V2 static RNN/kNN; NOT update query,scatter,Input stream mostly contiguous; prefix/gather destinations may not be adjacent across lanes.,Choose traversal matching prefix order; warp/block packing can make output contiguous.,"Preserve per-query grouping, ID mapping, prefix offsets and any stable-order requirement.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_v2.cuh,380,mergeLNodeKnn,V2 static RNN/kNN; NOT update query,scatter,Input stream mostly contiguous; prefix/gather destinations may not be adjacent across lanes.,Choose traversal matching prefix order; warp/block packing can make output contiguous.,"Preserve per-query grouping, ID mapping, prefix offsets and any stable-order requirement.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_v2.cuh,405,dataProcessRnn,V2 static RNN/kNN; NOT update query,distance,"A lane owns a point/query and loops coordinates; AoS rows gather/stride across lanes, coordinate loads contiguous only within each lane; output is often already coalesced.","Test warp-per-distance or query/pivot tiling; retain coalesced output via ownership handoff, not lane0 scattered stores.","Keep metric, accumulation, pruning boundary and every tail; small grids may lose to launch/metadata costs.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_v2.cuh,519,dataProcessKnn,V2 static RNN/kNN; NOT update query,distance,"A lane owns a point/query and loops coordinates; AoS rows gather/stride across lanes, coordinate loads contiguous only within each lane; output is often already coalesced.","Test warp-per-distance or query/pivot tiling; retain coalesced output via ownership handoff, not lane0 scattered stores.","Keep metric, accumulation, pruning boundary and every tail; small grids may lose to launch/metadata costs. Prior D64 is bounded integer L2 only; Q32 full-query gates failed.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
include/search_v2.cuh,634,dataProcessKnnVec,V2 vector/full-ID overload or calibration; ID main uses kth-only,distance,"A lane owns a point/query and loops coordinates; AoS rows gather/stride across lanes, coordinate loads contiguous only within each lane; output is often already coalesced.","Test warp-per-distance or query/pivot tiling; retain coalesced output via ownership handoff, not lane0 scattered stores.","Keep metric, accumulation, pruning boundary and every tail; small grids may lose to launch/metadata costs. Prior D64 is bounded integer L2 only; Q32 full-query gates failed.",source-confirmed access pattern; measured coverage in runtime exports; no new speedup claim
